epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3639,0.62446,6.61577,0,1.81231,1.08984,0.77923,0.698,0.78477,0.72253,0.64545,0.58796,0.59589,0.24176,0.40637,4.07797,0,1.04376,0.83965,0.0671473,0.000331845,0.000331845
2,83.3189,0.50457,3.82524,0,1.11444,0.98581,0.80909,0.83529,0.87949,0.80575,0.73139,0.76354,0.74955,0.4105,0.41307,2.91682,0,0.7924,0.83881,0.0341407,0.000658593,0.000658593
3,126.449,0.48877,3.15336,0,0.97834,0.97012,0.80752,0.83021,0.8654,0.81158,0.7256,0.75879,0.72054,0.4749,0.46119,2.45367,0,0.79504,0.85618,0.00112755,0.000978741,0.000978741
4,169.251,0.45626,2.77158,0,0.89834,0.95708,0.82259,0.85921,0.89164,0.83932,0.78505,0.79059,0.8232,0.56525,0.36454,2.19709,0,0.61085,0.81436,0.0009703,0.0009703,0.0009703
5,212.607,0.4191,2.5859,0,0.79197,0.93602,0.85358,0.89939,0.9083,0.86584,0.8568,0.80473,0.81599,0.58159,0.31778,2.07261,0,0.52782,0.77209,0.0009604,0.0009604,0.0009604
6,255.746,0.39863,2.40168,0,0.73883,0.93125,0.862,0.9011,0.91503,0.87648,0.83564,0.8058,0.80381,0.57453,0.2994,2.03881,0,0.50524,0.76404,0.0009505,0.0009505,0.0009505
7,298.425,0.38173,2.37241,0,0.69225,0.92362,0.89146,0.87107,0.92107,0.88464,0.82652,0.81409,0.8108,0.57223,0.31198,2.0157,0,0.48562,0.7719,0.0009406,0.0009406,0.0009406
8,341.463,0.37013,2.26412,0,0.66141,0.9143,0.90761,0.88659,0.92473,0.88726,0.85641,0.83835,0.83522,0.61043,0.31439,1.93549,0,0.4752,0.75109,0.0009307,0.0009307,0.0009307
9,384.473,0.35373,2.13679,0,0.62312,0.90881,0.86347,0.9157,0.92446,0.89667,0.84165,0.83607,0.82638,0.61724,0.25649,1.87498,0,0.45036,0.72632,0.0009208,0.0009208,0.0009208
10,427.246,0.35082,2.11737,0,0.61674,0.90525,0.85162,0.91647,0.92086,0.89186,0.83992,0.82475,0.84376,0.63369,0.26823,1.86738,0,0.4502,0.73443,0.0009109,0.0009109,0.0009109
11,470.722,0.35274,2.06715,0,0.60732,0.90737,0.90439,0.89707,0.92445,0.88984,0.86832,0.85641,0.8398,0.63756,0.26796,1.83309,0,0.44029,0.74337,0.000901,0.000901,0.000901
12,513.965,0.33545,2.03393,0,0.58087,0.8968,0.90272,0.9015,0.92828,0.89945,0.87246,0.85471,0.84354,0.65231,0.25486,1.80816,0,0.40587,0.73481,0.0008911,0.0008911,0.0008911
13,557.001,0.32982,2.02919,0,0.56781,0.89794,0.90599,0.89355,0.93372,0.90552,0.88103,0.84557,0.83977,0.6654,0.2542,1.78951,0,0.39041,0.73026,0.0008812,0.0008812,0.0008812
14,600.083,0.32303,1.95988,0,0.55367,0.89566,0.89912,0.89578,0.93027,0.903,0.8842,0.83478,0.84056,0.6559,0.2427,1.78844,0,0.40569,0.71961,0.0008713,0.0008713,0.0008713
15,640.63,0.31977,1.99123,0,0.55421,0.89499,0.90774,0.89238,0.92777,0.90314,0.88354,0.85406,0.85682,0.67215,0.24689,1.80214,0,0.40787,0.72678,0.0008614,0.0008614,0.0008614
16,683.694,0.32111,1.9432,0,0.54329,0.8977,0.89265,0.90977,0.93759,0.9128,0.85759,0.8459,0.83961,0.65236,0.23583,1.7682,0,0.36543,0.71697,0.0008515,0.0008515,0.0008515
17,724.619,0.30915,1.96409,0,0.52397,0.89119,0.90613,0.90574,0.93914,0.9078,0.87402,0.85413,0.84969,0.66975,0.26059,1.77226,0,0.38393,0.72704,0.0008416,0.0008416,0.0008416
18,767.643,0.30928,1.95328,0,0.51413,0.89235,0.90489,0.88946,0.93259,0.90227,0.88168,0.85312,0.84615,0.67416,0.2426,1.75451,0,0.39997,0.71955,0.0008317,0.0008317,0.0008317
19,808.203,0.30386,1.87165,0,0.50713,0.88717,0.90313,0.90151,0.93596,0.91017,0.87532,0.85017,0.85092,0.68383,0.22966,1.7263,0,0.38308,0.71649,0.0008218,0.0008218,0.0008218
20,851.165,0.30027,1.86604,0,0.51319,0.88891,0.8994,0.9068,0.93439,0.90662,0.87067,0.85311,0.8541,0.68235,0.24461,1.73355,0,0.37609,0.71964,0.0008119,0.0008119,0.0008119
